CODIGO,NOMBRE,EMBALSE,X,Y,DEMARC,CAUCE,GOOGLE,OPENSTREETMAP,WIKIDATA,PROVINCIA,CCAA,TIPO,COTA_CORON,ALT_CIMIEN,INFORME
9250031,SALLENTE,SALLENTE,"425,003,709,690,001","0,991459934000034",EBRO,BARRANC DE LA LORA,,,,Lleida,Cataluña,Presa de materiales sueltos de pantalla asfáltica,1770,89,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2580
3450047,CAZALEGAS,Cazalegas Dam,"4,001,298,709","-470,624,804,799,996",TAJO,RÍO ALBERCHE,https://www.google.com/search?kgmid=/g/11dfr4j268,,https://www.wikidata.org/wiki/Q30278314,Toledo,Castilla - La Mancha,Presa de materiales sueltos de pantalla de hormigón,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=902
9250014,LAGO NEGRO,LAGO NEGRO,"425,422,861,970,001","104,058,219,400,002",EBRO,,,,,Lleida,Cataluña,Presa de materiales sueltos zonificada o de núcleo,2340,11,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2564
9500034,"TORCAS, LAS",Las Trocas reservoir,"41,294,686,266","-108,744,698,599,997",EBRO,RÍO HUERVA,,,https://www.wikidata.org/wiki/Q23991169,Zaragoza,Aragón,Presa de fábrica de gravedad (hormigón vibrado),"624,799,999,999,999","3,945",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2845
3190006,"BUJEDA, LA","BUJEDA, LA","40,244,500,658","-283,518,801,499,997",TAJO,SIN NOMBRE,,,,Guadalajara,Castilla - La Mancha,Presa de materiales sueltos homogénea,"905,5","39,5",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=742
3450026,"TORCON, EL","TORCON, EL","396,252,768,730,001","-438,550,029,999,993",TAJO,ARROYO DEL TORCÓN,,,,Toledo,Castilla - La Mancha,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=882
4130055,PUERTO DE VALLEHERMOSO,PUERTO DE VALLEHERMOSO,"388,679,274,180,001","-316,849,076,499,994",GUADIANA,RIO AZUER,,,,Ciudad Real,Castilla - La Mancha,Presa de materiales sueltos homogénea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1143
4060047,BROVALES,BROVALES,"38,345,277,652","-669,588,046,499,996",GUADIANA,ARROYO DE BROVALES,,,,Badajoz,Extremadura,Presa de fábrica de contrafuertes,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=974
3190001,ALMOGUERA,Faltos,"402,743,056,580,001","-295,882,007,899,996",TAJO,RÍO TAJO,https://www.google.com/search?kgmid=/g/12283wdk,,https://www.wikidata.org/wiki/Q5672943,Guadalajara,Castilla - La Mancha,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=737
9220010,BACHIMAÑA ALTO,Bachimaña Alto reservoir,"42,782,028,102","-0,223491101999969",EBRO,RÍO CALDARÉS,,,https://www.wikidata.org/wiki/Q95674644,Huesca,Aragón,Presa de fábrica de mampostería,"220,709,999,999,999","38,1",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2427
